Time,ms,110k Dis,,110k For,,LVDT 1 V,,LVDT 2 V,,LVDT Avg.,SP2 Bloc,,Act. Disp.,,,,,
,,V,inches,V,kips,V,inches,V,inches,inches,V,inches,,,,,,
+000:02:55,0,-0.069,-0.069,-1.453,-14.525,-4.172,0.001,-7.483,0.020,0.011,1.639,-0.02123264,-0.048,,,,,
+000:02:55,100,-0.072,-0.072,-1.459,-14.586,-4.157,-0.002,-7.470,0.018,0.008,1.646,-0.01864064,-0.054,,,,,
+000:02:55,200,-0.069,-0.069,-1.453,-14.534,-4.195,0.006,-7.518,0.027,0.016,1.636,-0.02248814,-0.047,,,,,
+000:02:55,300,-0.072,-0.072,-1.459,-14.589,-4.184,0.003,-7.508,0.025,0.014,1.634,-0.02346014,-0.048,,,,,
+000:02:55,400,-0.074,-0.074,-1.460,-14.598,-4.182,0.003,-7.492,0.022,0.013,1.639,-0.02135414,-0.053,,,,,
+000:02:55,500,-0.071,-0.071,-1.464,-14.635,-4.169,0.001,-7.473,0.018,0.010,1.630,-0.02520164,-0.046,,,,,
+000:02:55,600,-0.072,-0.072,-1.460,-14.604,-4.172,0.001,-7.495,0.022,0.012,1.631,-0.02471564,-0.048,,,,,
+000:02:55,700,-0.071,-0.071,-1.464,-14.641,-4.196,0.006,-7.520,0.027,0.017,1.637,-0.02212364,-0.049,,,,,
+000:02:55,800,-0.072,-0.072,-1.465,-14.647,-4.181,0.003,-7.502,0.024,0.013,1.639,-0.02123264,-0.051,,,,,
+000:02:55,900,-0.070,-0.070,-1.465,-14.647,-4.169,0.001,-7.472,0.018,0.009,1.635,-0.02309564,-0.047,,,,,
+000:02:56,0,-0.073,-0.073,-1.467,-14.668,-4.182,0.003,-7.497,0.023,0.013,1.634,-0.02333864,-0.049,,,,,
+000:02:56,100,-0.068,-0.068,-1.462,-14.617,-4.181,0.003,-7.506,0.025,0.014,1.635,-0.02309564,-0.045,,,,,
+000:02:56,200,-0.068,-0.068,-1.464,-14.644,-4.193,0.005,-7.514,0.026,0.016,1.637,-0.02212364,-0.046,,,,,
+000:02:56,300,-0.069,-0.069,-1.464,-14.635,-4.173,0.001,-7.487,0.021,0.011,1.633,-0.02382464,-0.045,,,,,
+000:02:56,400,-0.067,-0.067,-1.470,-14.699,-4.152,-0.003,-7.463,0.016,0.007,1.634,-0.02358164,-0.043,,,,,
+000:02:56,500,-0.067,-0.067,-1.461,-14.607,-4.194,0.005,-7.516,0.027,0.016,1.640,-0.02111114,-0.046,,,,,
+000:02:56,600,-0.070,-0.070,-1.468,-14.684,-4.184,0.003,-7.510,0.025,0.014,1.633,-0.02394614,-0.046,,,,,
+000:02:56,700,-0.069,-0.069,-1.470,-14.702,-4.183,0.003,-7.492,0.022,0.013,1.634,-0.02333864,-0.046,,,,,
+000:02:56,800,-0.071,-0.071,-1.465,-14.653,-4.169,0.001,-7.476,0.019,0.010,1.636,-0.02273114,-0.049,,,,,
+000:02:56,900,-0.071,-0.071,-1.471,-14.705,-4.175,0.002,-7.498,0.023,0.012,1.642,-0.02001764,-0.051,,,,,
+000:02:57,0,-0.073,-0.073,-1.470,-14.696,-4.196,0.006,-7.520,0.027,0.016,1.635,-0.02309564,-0.050,,,,,
+000:02:57,100,-0.074,-0.074,-1.473,-14.730,-4.179,0.002,-7.498,0.023,0.013,1.632,-0.02406764,-0.050,,,,,
+000:02:57,200,-0.072,-0.072,-1.472,-14.720,-4.162,-0.001,-7.479,0.020,0.009,1.639,-0.02135414,-0.051,,,,,
+000:02:57,300,-0.070,-0.070,-1.477,-14.766,-4.192,0.005,-7.514,0.026,0.016,1.633,-0.02382464,-0.047,,,,,
+000:02:57,400,-0.072,-0.072,-1.476,-14.763,-4.183,0.003,-7.511,0.026,0.014,1.633,-0.02370314,-0.048,,,,,
+000:02:57,500,-0.073,-0.073,-1.475,-14.745,-4.188,0.004,-7.505,0.024,0.014,1.637,-0.02236664,-0.051,,,,,
+000:02:57,600,-0.070,-0.070,-1.476,-14.760,-4.163,-0.001,-7.467,0.017,0.008,1.620,-0.02888714,-0.041,,,,,
+000:02:57,700,-0.070,-0.070,-1.472,-14.723,-4.167,0.000,-7.488,0.021,0.011,1.638,-0.02159714,-0.048,,,,,
+000:02:57,800,-0.070,-0.070,-1.477,-14.772,-4.197,0.006,-7.522,0.028,0.017,1.633,-0.02382464,-0.046,,,,,
+000:02:57,900,-0.071,-0.071,-1.470,-14.696,-4.182,0.003,-7.504,0.024,0.014,1.634,-0.02346014,-0.047,,,,,
+000:02:58,0,-0.068,-0.068,-1.474,-14.739,-4.172,0.001,-7.476,0.019,0.010,1.635,-0.02309564,-0.045,,,,,
+000:02:58,100,-0.073,-0.073,-1.481,-14.812,-4.178,0.002,-7.494,0.022,0.012,1.631,-0.02459414,-0.048,,,,,
+000:02:58,200,-0.071,-0.071,-1.480,-14.803,-4.179,0.003,-7.506,0.025,0.014,1.631,-0.02459414,-0.046,,,,,
+000:02:58,300,-0.074,-0.074,-1.482,-14.824,-4.194,0.005,-7.518,0.027,0.016,1.637,-0.02224514,-0.051,,,,,
+000:02:58,400,-0.075,-0.075,-1.481,-14.809,-4.176,0.002,-7.491,0.022,0.012,1.630,-0.02508014,-0.050,,,,,
+000:02:58,500,-0.066,-0.066,-1.489,-14.891,-4.150,-0.003,-7.463,0.016,0.007,1.630,-0.02520164,-0.041,,,,,
+000:02:58,600,-0.073,-0.073,-1.479,-14.791,-4.193,0.005,-7.517,0.027,0.016,1.631,-0.02447264,-0.048,,,,,
+000:02:58,700,-0.072,-0.072,-1.486,-14.855,-4.185,0.004,-7.511,0.026,0.015,1.640,-0.02111114,-0.051,,,,,
+000:02:58,800,-0.075,-0.075,-1.487,-14.870,-4.182,0.003,-7.496,0.023,0.013,1.632,-0.02418914,-0.051,,,,,
+000:02:58,900,-0.072,-0.072,-1.478,-14.778,-4.169,0.000,-7.476,0.019,0.010,1.632,-0.02435114,-0.048,,,,,
+000:02:59,0,-0.073,-0.073,-1.483,-14.827,-4.175,0.002,-7.500,0.024,0.013,1.632,-0.02435114,-0.049,,,,,
+000:02:59,100,-0.075,-0.075,-1.485,-14.852,-4.196,0.006,-7.521,0.027,0.017,1.634,-0.02346014,-0.051,,,,,
+000:02:59,200,-0.073,-0.073,-1.486,-14.861,-4.179,0.003,-7.498,0.023,0.013,1.630,-0.02520164,-0.048,,,,,
+000:02:59,300,-0.070,-0.070,-1.482,-14.821,-4.160,-0.001,-7.450,0.014,0.006,1.630,-0.02495864,-0.045,,,,,
+000:02:59,400,-0.068,-0.068,-1.484,-14.836,-4.190,0.005,-7.512,0.026,0.015,1.638,-0.02171864,-0.046,,,,,
+000:02:59,500,-0.069,-0.069,-1.484,-14.836,-4.184,0.003,-7.513,0.026,0.015,1.635,-0.02285264,-0.047,,,,,
+000:02:59,600,-0.071,-0.071,-1.490,-14.897,-4.187,0.004,-7.503,0.024,0.014,1.630,-0.02483714,-0.046,,,,,
+000:02:59,700,-0.074,-0.074,-1.492,-14.916,-4.161,-0.001,-7.426,0.009,0.004,1.631,-0.02447264,-0.049,,,,,
+000:02:59,800,-0.072,-0.072,-1.491,-14.913,-4.170,0.001,-7.494,0.022,0.012,1.631,-0.02459414,-0.047,,,,,
+000:02:59,900,-0.072,-0.072,-1.493,-14.934,-4.197,0.006,-7.523,0.028,0.017,1.630,-0.02508014,-0.047,,,,,
+000:03:00,0,-0.077,-0.077,-1.494,-14.940,-4.181,0.003,-7.503,0.024,0.013,1.628,-0.02568764,-0.051,,,,,
+000:03:00,100,-0.074,-0.074,-1.496,-14.955,-4.166,0.000,-7.467,0.017,0.009,1.634,-0.02321714,-0.050,,,,,
+000:03:00,200,-0.077,-0.077,-1.491,-14.913,-4.187,0.004,-7.508,0.025,0.014,1.630,-0.02508014,-0.052,,,,,
+000:03:00,300,-0.073,-0.073,-1.496,-14.958,-4.184,0.003,-7.511,0.026,0.015,1.629,-0.02556614,-0.047,,,,,
+000:03:00,400,-0.076,-0.076,-1.497,-14.965,-4.189,0.004,-7.508,0.025,0.015,1.631,-0.02459414,-0.052,,,,,
+000:03:00,500,-0.074,-0.074,-1.495,-14.949,-4.163,-0.001,-7.469,0.018,0.008,1.624,-0.02755064,-0.046,,,,,
+000:03:00,600,-0.077,-0.077,-1.498,-14.977,-4.169,0.000,-7.491,0.022,0.011,1.626,-0.02653814,-0.050,,,,,
+000:03:00,700,-0.070,-0.070,-1.493,-14.934,-4.196,0.006,-7.524,0.028,0.017,1.628,-0.02568764,-0.044,,,,,
+000:03:00,800,-0.070,-0.070,-1.500,-15.004,-4.182,0.003,-7.506,0.025,0.014,1.630,-0.02483714,-0.046,,,,,
+000:03:00,900,-0.073,-0.073,-1.494,-14.943,-4.170,0.001,-7.475,0.019,0.010,1.627,-0.02629514,-0.047,,,,,
+000:03:01,0,-0.070,-0.070,-1.500,-15.004,-4.181,0.003,-7.497,0.023,0.013,1.629,-0.02556614,-0.044,,,,,
+000:03:01,100,-0.071,-0.071,-1.495,-14.946,-4.178,0.002,-7.506,0.025,0.013,1.627,-0.02617364,-0.045,,,,,
+000:03:01,200,-0.076,-0.076,-1.502,-15.019,-4.195,0.006,-7.522,0.028,0.017,1.636,-0.02260964,-0.053,,,,,
+000:03:01,300,-0.077,-0.077,-1.501,-15.013,-4.178,0.002,-7.498,0.023,0.013,1.635,-0.02309564,-0.054,,,,,
+000:03:01,400,-0.075,-0.075,-1.508,-15.080,-4.160,-0.001,-7.453,0.015,0.007,1.628,-0.02568764,-0.049,,,,,
+000:03:01,500,-0.074,-0.074,-1.506,-15.059,-4.188,0.004,-7.511,0.026,0.015,1.635,-0.02309564,-0.051,,,,,
+000:03:01,600,-0.077,-0.077,-1.505,-15.053,-4.184,0.003,-7.513,0.026,0.015,1.641,-0.02074664,-0.056,,,,,
+000:03:01,700,-0.074,-0.074,-1.509,-15.087,-4.190,0.005,-7.511,0.026,0.015,1.628,-0.02580914,-0.049,,,,,
+000:03:01,800,-0.078,-0.078,-1.505,-15.050,-4.167,0.000,-7.478,0.019,0.010,1.627,-0.02605214,-0.052,,,,,
+000:03:01,900,-0.074,-0.074,-1.508,-15.084,-4.162,-0.001,-7.483,0.020,0.010,1.630,-0.02520164,-0.049,,,,,
+000:03:02,0,-0.074,-0.074,-1.505,-15.047,-4.195,0.006,-7.523,0.028,0.017,1.629,-0.02556614,-0.049,,,,,
+000:03:02,100,-0.075,-0.075,-1.501,-15.010,-4.184,0.003,-7.513,0.026,0.015,1.628,-0.02593064,-0.049,,,,,
+000:03:02,200,-0.076,-0.076,-1.505,-15.047,-4.183,0.003,-7.498,0.023,0.013,1.629,-0.02544464,-0.050,,,,,
+000:03:02,300,-0.070,-0.070,-1.501,-15.007,-4.163,-0.001,-7.462,0.016,0.008,1.639,-0.02123264,-0.049,,,,,
+000:03:02,400,-0.071,-0.071,-1.501,-15.013,-4.167,0.000,-7.491,0.022,0.011,1.627,-0.02641664,-0.044,,,,,
+000:03:02,500,-0.073,-0.073,-1.503,-15.029,-4.196,0.006,-7.524,0.028,0.017,1.629,-0.02532314,-0.048,,,,,
+000:03:02,600,-0.073,-0.073,-1.506,-15.062,-4.184,0.003,-7.512,0.026,0.015,1.631,-0.02459414,-0.048,,,,,
+000:03:02,700,-0.075,-0.075,-1.504,-15.044,-4.182,0.003,-7.496,0.023,0.013,1.623,-0.02767214,-0.047,,,,,
+000:03:02,800,-0.073,-0.073,-1.511,-15.111,-4.163,-0.001,-7.463,0.017,0.008,1.629,-0.02532314,-0.048,,,,,
+000:03:02,900,-0.076,-0.076,-1.513,-15.129,-4.170,0.001,-7.495,0.023,0.012,1.627,-0.02617364,-0.049,,,,,
+000:03:03,0,-0.076,-0.076,-1.510,-15.096,-4.197,0.006,-7.524,0.028,0.017,1.634,-0.02333864,-0.052,,,,,
+000:03:03,100,-0.080,-0.080,-1.519,-15.190,-4.183,0.003,-7.509,0.025,0.014,1.632,-0.02435114,-0.056,,,,,
+000:03:03,200,-0.073,-0.073,-1.512,-15.117,-4.174,0.001,-7.483,0.020,0.011,1.628,-0.02568764,-0.048,,,,,
+000:03:03,300,-0.074,-0.074,-1.516,-15.160,-4.178,0.002,-7.493,0.022,0.012,1.632,-0.02435114,-0.050,,,,,
+000:03:03,400,-0.077,-0.077,-1.512,-15.120,-4.177,0.002,-7.507,0.025,0.013,1.637,-0.02224514,-0.055,,,,,
+000:03:03,500,-0.076,-0.076,-1.519,-15.187,-4.196,0.006,-7.523,0.028,0.017,1.628,-0.02568764,-0.050,,,,,
+000:03:03,600,-0.072,-0.072,-1.509,-15.090,-4.174,0.002,-7.492,0.022,0.012,1.627,-0.02629514,-0.045,,,,,
+000:03:03,700,-0.080,-0.080,-1.513,-15.126,-4.155,-0.002,-7.471,0.018,0.008,1.630,-0.02495864,-0.055,,,,,
+000:03:03,800,-0.073,-0.073,-1.511,-15.114,-4.195,0.006,-7.522,0.028,0.017,1.627,-0.02629514,-0.047,,,,,
+000:03:03,900,-0.073,-0.073,-1.511,-15.105,-4.184,0.003,-7.513,0.026,0.015,1.625,-0.02718614,-0.046,,,,,
+000:03:04,0,-0.073,-0.073,-1.511,-15.114,-4.178,0.002,-7.490,0.022,0.012,1.630,-0.02520164,-0.048,,,,,
+000:03:04,100,-0.071,-0.071,-1.512,-15.117,-4.174,0.001,-7.489,0.021,0.011,1.639,-0.02135414,-0.049,,,,,
+000:03:04,200,-0.073,-0.073,-1.519,-15.193,-4.178,0.002,-7.508,0.025,0.014,1.623,-0.02767214,-0.045,,,,,
+000:03:04,300,-0.076,-0.076,-1.520,-15.196,-4.195,0.006,-7.521,0.028,0.017,1.627,-0.02605214,-0.050,,,,,
+000:03:04,400,-0.076,-0.076,-1.521,-15.209,-4.176,0.002,-7.493,0.022,0.012,1.629,-0.02556614,-0.051,,,,,
+000:03:04,500,-0.064,-0.064,-1.525,-15.254,-4.150,-0.003,-7.466,0.017,0.007,1.620,-0.02888714,-0.035,,,,,
+000:03:04,600,-0.077,-0.077,-1.525,-15.248,-4.193,0.005,-7.519,0.027,0.016,1.627,-0.02605214,-0.051,,,,,
+000:03:04,700,-0.079,-0.079,-1.527,-15.270,-4.185,0.004,-7.515,0.026,0.015,1.626,-0.02682164,-0.052,,,,,
+000:03:04,800,-0.075,-0.075,-1.523,-15.230,-4.183,0.003,-7.500,0.024,0.013,1.634,-0.02346014,-0.051,,,,,
+000:03:04,900,-0.076,-0.076,-1.532,-15.322,-4.167,0.000,-7.478,0.019,0.010,1.627,-0.02641664,-0.049,,,,,
+000:03:05,0,-0.079,-0.079,-1.525,-15.254,-4.175,0.002,-7.502,0.024,0.013,1.624,-0.02742914,-0.051,,,,,
+000:03:05,100,-0.077,-0.077,-1.527,-15.270,-4.196,0.006,-7.526,0.028,0.017,1.629,-0.02532314,-0.052,,,,,
+000:03:05,200,-0.077,-0.077,-1.521,-15.209,-4.181,0.003,-7.504,0.024,0.013,1.636,-0.02248814,-0.054,,,,,
+000:03:05,300,-0.073,-0.073,-1.530,-15.297,-4.163,-0.001,-7.466,0.017,0.008,1.625,-0.02706464,-0.046,,,,,
+000:03:05,400,-0.074,-0.074,-1.526,-15.257,-4.188,0.004,-7.512,0.026,0.015,1.628,-0.02568764,-0.049,,,,,
+000:03:05,500,-0.074,-0.074,-1.523,-15.227,-4.183,0.003,-7.515,0.026,0.015,1.630,-0.02495864,-0.049,,,,,
+000:03:05,600,-0.078,-0.078,-1.528,-15.279,-4.189,0.004,-7.511,0.026,0.015,1.627,-0.02629514,-0.052,,,,,
+000:03:05,700,-0.073,-0.073,-1.526,-15.257,-4.164,0.000,-7.476,0.019,0.009,1.623,-0.02767214,-0.045,,,,,
+000:03:05,800,-0.076,-0.076,-1.530,-15.303,-4.164,0.000,-7.487,0.021,0.010,1.632,-0.02406764,-0.052,,,,,
+000:03:05,900,-0.076,-0.076,-1.530,-15.297,-4.195,0.006,-7.525,0.028,0.017,1.638,-0.02184014,-0.054,,,,,
+000:03:06,0,-0.079,-0.079,-1.537,-15.370,-4.185,0.004,-7.515,0.026,0.015,1.623,-0.02791514,-0.051,,,,,
+000:03:06,100,-0.076,-0.076,-1.526,-15.257,-4.183,0.003,-7.500,0.023,0.013,1.627,-0.02629514,-0.050,,,,,
+000:03:06,200,-0.076,-0.076,-1.533,-15.325,-4.161,-0.001,-7.455,0.015,0.007,1.631,-0.02459414,-0.052,,,,,
+000:03:06,300,-0.076,-0.076,-1.539,-15.389,-4.172,0.001,-7.498,0.023,0.012,1.621,-0.02852264,-0.048,,,,,
+000:03:06,400,-0.078,-0.078,-1.535,-15.352,-4.196,0.006,-7.527,0.029,0.017,1.627,-0.02629514,-0.051,,,,,
+000:03:06,500,-0.077,-0.077,-1.537,-15.367,-4.181,0.003,-7.505,0.024,0.014,1.625,-0.02718614,-0.050,,,,,
+000:03:06,600,-0.078,-0.078,-1.538,-15.377,-4.161,-0.001,-7.463,0.016,0.008,1.631,-0.02447264,-0.054,,,,,
+000:03:06,700,-0.076,-0.076,-1.540,-15.401,-4.189,0.004,-7.515,0.026,0.015,1.624,-0.02730764,-0.049,,,,,
+000:03:06,800,-0.079,-0.079,-1.537,-15.367,-4.184,0.003,-7.517,0.027,0.015,1.624,-0.02755064,-0.051,,,,,
+000:03:06,900,-0.074,-0.074,-1.537,-15.370,-4.189,0.004,-7.511,0.026,0.015,1.628,-0.02593064,-0.048,,,,,
+000:03:07,0,-0.073,-0.073,-1.535,-15.346,-4.160,-0.001,-7.436,0.011,0.005,1.637,-0.02224514,-0.051,,,,,
+000:03:07,100,-0.077,-0.077,-1.536,-15.361,-4.172,0.001,-7.499,0.023,0.012,1.623,-0.02767214,-0.049,,,,,
+000:03:07,200,-0.072,-0.072,-1.544,-15.435,-4.196,0.006,-7.527,0.029,0.017,1.626,-0.02682164,-0.046,,,,,
+000:03:07,300,-0.075,-0.075,-1.539,-15.389,-4.182,0.003,-7.508,0.025,0.014,1.629,-0.02556614,-0.050,,,,,
+000:03:07,400,-0.078,-0.078,-1.542,-15.422,-4.166,0.000,-7.470,0.018,0.009,1.625,-0.02706464,-0.051,,,,,
+000:03:07,500,-0.079,-0.079,-1.544,-15.435,-4.188,0.004,-7.511,0.026,0.015,1.626,-0.02682164,-0.052,,,,,
+000:03:07,600,-0.079,-0.079,-1.545,-15.453,-4.183,0.003,-7.516,0.027,0.015,1.631,-0.02459414,-0.054,,,,,
+000:03:07,700,-0.081,-0.081,-1.545,-15.453,-4.192,0.005,-7.515,0.026,0.016,1.634,-0.02333864,-0.057,,,,,
+000:03:07,800,-0.080,-0.080,-1.544,-15.438,-4.166,0.000,-7.479,0.019,0.010,1.621,-0.02852264,-0.051,,,,,
+000:03:07,900,-0.078,-0.078,-1.545,-15.453,-4.166,0.000,-7.492,0.022,0.011,1.623,-0.02779364,-0.050,,,,,
+000:03:08,0,-0.076,-0.076,-1.545,-15.450,-4.197,0.006,-7.527,0.029,0.017,1.628,-0.02568764,-0.050,,,,,
+000:03:08,100,-0.081,-0.081,-1.552,-15.517,-4.182,0.003,-7.509,0.025,0.014,1.618,-0.03002114,-0.051,,,,,
+000:03:08,200,-0.078,-0.078,-1.541,-15.413,-4.167,0.000,-7.473,0.018,0.009,1.623,-0.02767214,-0.050,,,,,
+000:03:08,300,-0.076,-0.076,-1.548,-15.483,-4.189,0.004,-7.514,0.026,0.015,1.625,-0.02718614,-0.049,,,,,
+000:03:08,400,-0.076,-0.076,-1.546,-15.462,-4.184,0.003,-7.517,0.027,0.015,1.627,-0.02605214,-0.050,,,,,
+000:03:08,500,-0.074,-0.074,-1.551,-15.511,-4.187,0.004,-7.508,0.025,0.014,1.623,-0.02767214,-0.047,,,,,
+000:03:08,600,-0.081,-0.081,-1.545,-15.453,-4.172,0.001,-7.487,0.021,0.011,1.624,-0.02755064,-0.053,,,,,
+000:03:08,700,-0.076,-0.076,-1.551,-15.508,-4.179,0.003,-7.513,0.026,0.014,1.623,-0.02779364,-0.048,,,,,
+000:03:08,800,-0.075,-0.075,-1.552,-15.523,-4.193,0.005,-7.521,0.027,0.016,1.630,-0.02520164,-0.049,,,,,
+000:03:08,900,-0.080,-0.080,-1.550,-15.502,-4.167,0.000,-7.481,0.020,0.010,1.622,-0.02840114,-0.051,,,,,
+000:03:09,0,-0.078,-0.078,-1.561,-15.608,-4.167,0.000,-7.494,0.022,0.011,1.621,-0.02852264,-0.049,,,,,
+000:03:09,100,-0.079,-0.079,-1.556,-15.557,-4.198,0.006,-7.528,0.029,0.017,1.626,-0.02670014,-0.052,,,,,
+000:03:09,200,-0.080,-0.080,-1.556,-15.557,-4.178,0.002,-7.502,0.024,0.013,1.620,-0.02917064,-0.051,,,,,
+000:03:09,300,-0.076,-0.076,-1.560,-15.596,-4.152,-0.003,-7.471,0.018,0.008,1.619,-0.02941364,-0.047,,,,,
+000:03:09,400,-0.078,-0.078,-1.556,-15.557,-4.196,0.006,-7.526,0.028,0.017,1.624,-0.02742914,-0.050,,,,,
+000:03:09,500,-0.079,-0.079,-1.556,-15.557,-4.184,0.003,-7.514,0.026,0.015,1.633,-0.02394614,-0.055,,,,,
+000:03:09,600,-0.080,-0.080,-1.560,-15.602,-4.172,0.001,-7.484,0.020,0.011,1.623,-0.02767214,-0.052,,,,,
+000:03:09,700,-0.076,-0.076,-1.564,-15.636,-4.186,0.004,-7.513,0.026,0.015,1.622,-0.02815814,-0.047,,,,,
+000:03:09,800,-0.080,-0.080,-1.562,-15.618,-4.184,0.003,-7.516,0.027,0.015,1.623,-0.02779364,-0.052,,,,,
+000:03:09,900,-0.078,-0.078,-1.560,-15.599,-4.192,0.005,-7.518,0.027,0.016,1.618,-0.02989964,-0.048,,,,,
+000:03:10,0,-0.076,-0.076,-1.558,-15.578,-4.170,0.001,-7.487,0.021,0.011,1.619,-0.02941364,-0.047,,,,,
+000:03:10,100,-0.076,-0.076,-1.556,-15.563,-4.158,-0.002,-7.480,0.020,0.009,1.621,-0.02876564,-0.047,,,,,
+000:03:10,200,-0.079,-0.079,-1.565,-15.645,-4.197,0.006,-7.528,0.029,0.017,1.630,-0.02520164,-0.054,,,,,
+000:03:10,300,-0.075,-0.075,-1.559,-15.590,-4.183,0.003,-7.516,0.027,0.015,1.626,-0.02653814,-0.049,,,,,
+000:03:10,400,-0.078,-0.078,-1.564,-15.639,-4.178,0.002,-7.495,0.022,0.012,1.621,-0.02864414,-0.050,,,,,
+000:03:10,500,-0.079,-0.079,-1.563,-15.630,-4.176,0.002,-7.494,0.022,0.012,1.625,-0.02706464,-0.052,,,,,
+000:03:10,600,-0.079,-0.079,-1.571,-15.712,-4.181,0.003,-7.514,0.026,0.015,1.628,-0.02580914,-0.053,,,,,
+000:03:10,700,-0.081,-0.081,-1.570,-15.697,-4.195,0.006,-7.525,0.028,0.017,1.621,-0.02852264,-0.052,,,,,
+000:03:10,800,-0.079,-0.079,-1.572,-15.718,-4.177,0.002,-7.501,0.024,0.013,1.619,-0.02929214,-0.050,,,,,
+000:03:10,900,-0.082,-0.082,-1.561,-15.612,-4.148,-0.003,-7.465,0.017,0.007,1.623,-0.02779364,-0.054,,,,,
+000:03:11,0,-0.082,-0.082,-1.570,-15.700,-4.193,0.005,-7.524,0.028,0.017,1.621,-0.02852264,-0.053,,,,,
+000:03:11,100,-0.080,-0.080,-1.572,-15.718,-4.185,0.004,-7.518,0.027,0.015,1.619,-0.02941364,-0.051,,,,,
+000:03:11,200,-0.081,-0.081,-1.568,-15.682,-4.181,0.003,-7.498,0.023,0.013,1.624,-0.02742914,-0.054,,,,,
+000:03:11,300,-0.079,-0.079,-1.565,-15.651,-4.173,0.001,-7.489,0.021,0.011,1.632,-0.02418914,-0.054,,,,,
+000:03:11,400,-0.082,-0.082,-1.573,-15.731,-4.177,0.002,-7.509,0.025,0.014,1.616,-0.03087164,-0.051,,,,,
+000:03:11,500,-0.076,-0.076,-1.569,-15.688,-4.195,0.006,-7.526,0.028,0.017,1.622,-0.02815814,-0.047,,,,,
+000:03:11,600,-0.076,-0.076,-1.566,-15.660,-4.177,0.002,-7.499,0.023,0.013,1.623,-0.02791514,-0.049,,,,,
+000:03:11,700,-0.077,-0.077,-1.573,-15.727,-4.152,-0.003,-7.473,0.018,0.008,1.612,-0.03224864,-0.045,,,,,
+000:03:11,800,-0.075,-0.075,-1.572,-15.721,-4.194,0.005,-7.524,0.028,0.017,1.619,-0.02941364,-0.046,,,,,
+000:03:11,900,-0.082,-0.082,-1.574,-15.737,-4.185,0.004,-7.519,0.027,0.015,1.617,-0.03014264,-0.051,,,,,
+000:03:12,0,-0.078,-0.078,-1.573,-15.734,-4.177,0.002,-7.493,0.022,0.012,1.628,-0.02580914,-0.052,,,,,
+000:03:12,100,-0.080,-0.080,-1.576,-15.761,-4.182,0.003,-7.506,0.025,0.014,1.618,-0.02989964,-0.051,,,,,
+000:03:12,200,-0.080,-0.080,-1.575,-15.752,-4.183,0.003,-7.517,0.027,0.015,1.616,-0.03062864,-0.049,,,,,
+000:03:12,300,-0.086,-0.086,-1.580,-15.804,-4.190,0.005,-7.517,0.027,0.016,1.623,-0.02791514,-0.058,,,,,
+000:03:12,400,-0.079,-0.079,-1.576,-15.755,-4.164,0.000,-7.477,0.019,0.009,1.624,-0.02755064,-0.051,,,,,
+000:03:12,500,-0.081,-0.081,-1.579,-15.785,-4.169,0.001,-7.499,0.023,0.012,1.616,-0.03075014,-0.050,,,,,
+000:03:12,600,-0.082,-0.082,-1.575,-15.749,-4.197,0.006,-7.530,0.029,0.018,1.620,-0.02900864,-0.053,,,,,
+000:03:12,700,-0.080,-0.080,-1.576,-15.764,-4.180,0.003,-7.507,0.025,0.014,1.621,-0.02852264,-0.051,,,,,
+000:03:12,800,-0.081,-0.081,-1.575,-15.749,-4.147,-0.004,-7.465,0.017,0.007,1.617,-0.03014264,-0.051,,,,,
+000:03:12,900,-0.080,-0.080,-1.583,-15.834,-4.195,0.005,-7.525,0.028,0.017,1.618,-0.02989964,-0.050,,,,,
+000:03:13,0,-0.081,-0.081,-1.579,-15.789,-4.185,0.004,-7.518,0.027,0.015,1.624,-0.02730764,-0.053,,,,,
+000:03:13,100,-0.078,-0.078,-1.576,-15.761,-4.178,0.002,-7.495,0.022,0.012,1.630,-0.02520164,-0.053,,,,,
+000:03:13,200,-0.076,-0.076,-1.579,-15.785,-4.180,0.003,-7.504,0.024,0.013,1.619,-0.02953514,-0.046,,,,,
+000:03:13,300,-0.077,-0.077,-1.579,-15.792,-4.183,0.003,-7.517,0.027,0.015,1.617,-0.03038564,-0.046,,,,,
+000:03:13,400,-0.081,-0.081,-1.585,-15.850,-4.192,0.005,-7.521,0.028,0.016,1.623,-0.02791514,-0.053,,,,,
+000:03:13,500,-0.081,-0.081,-1.586,-15.856,-4.165,0.000,-7.479,0.019,0.010,1.612,-0.03249164,-0.049,,,,,
+000:03:13,600,-0.082,-0.082,-1.587,-15.871,-4.170,0.001,-7.502,0.024,0.012,1.617,-0.03026414,-0.052,,,,,
+000:03:13,700,-0.084,-0.084,-1.588,-15.877,-4.197,0.006,-7.530,0.029,0.018,1.620,-0.02888714,-0.055,,,,,
+000:03:13,800,-0.082,-0.082,-1.591,-15.911,-4.178,0.002,-7.503,0.024,0.013,1.623,-0.02803664,-0.054,,,,,
+000:03:13,900,-0.085,-0.085,-1.589,-15.892,-4.156,-0.002,-7.479,0.019,0.009,1.624,-0.02755064,-0.057,,,,,
+000:03:14,0,-0.087,-0.087,-1.594,-15.944,-4.197,0.006,-7.530,0.029,0.018,1.618,-0.03002114,-0.057,,,,,
+000:03:14,100,-0.080,-0.080,-1.582,-15.822,-4.184,0.003,-7.514,0.026,0.015,1.618,-0.02977814,-0.050,,,,,
